number,title,medium,contact_info,legal_info,private,creation_date,size,series,description,percent_for_art,displayed
52,"Cul De Sac","cibachrome","second floor, east side, near rotunda and newspapers",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Watershed Investigations series","Abrahamson's photographs in the Valley Library are a part of his Watershed Investigations series, and on these photographs he has said, “The subversive formalism of the imagery underscores the deceptive beauty of the land, while the oblique shooting angle adds to the ambiguity of the work. With close inspection, the world below is troubled and complex.”",TRUE,FALSE
53,"Strawberry Field #5","cibachrome","second floor, near rotunda and newspapers",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Watershed Investigations series","Abrahamson's photographs in the Valley Library are a part of his Watershed Investigations series, and on these photographs he has said, “The subversive formalism of the imagery underscores the deceptive beauty of the land, while the oblique shooting angle adds to the ambiguity of the work. With close inspection, the world below is troubled and complex.”",TRUE,FALSE
54,"Pulp Ponds","cibachrome","second floor, east side, near rotunda and newspapers",,"Public",,,"part of The Valley Library's Northwest Art Collection, part of artist's Watershed Investigations series","Abrahamson's photographs in the Valley Library are a part of his Watershed Investigations series, and on these photographs he has said, “The subversive formalism of the imagery underscores the deceptive beauty of the land, while the oblique shooting angle adds to the ambiguity of the work. With close inspection, the world below is troubled and complex.”",TRUE,FALSE
117,"September - The Call","oil on canvas","fifth floor, by east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Vincent clings to the last vestiges of false bravado","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Noah indulges in a little psycletherapy","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Life in the pump house","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Running in circles","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"With some trepidation, Martin approaches the next machine","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Carlos always felt that Jenny's flexibility gave her an unfair advantage","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Bart prepares for his morning workout","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Anna Paploski - woman of adventure - outfitted and ready to go","watercolor and graphite drawing; india ink","first floor, lower lounge, left of main entrance and lobby","From plaque that accompanies the piece: ""One drawing from a whimsical set of eight that reflects the spirit of sports and sportsmanship.""","Public",2005,,,,TRUE,FALSE
,"Steam Donkey","photograph","second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Sweet Creek","photograph","second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Sparks Lake","photograph","second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Aspen and Pines, Sisters, Oregon","photograph","second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Noble Fir in Fog - Mary's Peak","photograph","second floor, room 280",,"Please ask at the front desk to view this piece.",,,,,FALSE,FALSE
,"Untitled (beaver)",,"first floor, room A147",,"missing",,,,,FALSE,TRUE
,"untitled","watercolor","first floor, Giustina Lounge",,"Public",,,,,FALSE,FALSE
,"Cannery","Peavy","first floor, Dean's hallway",,"missing",,,,,FALSE,TRUE
,"Oregon Azure","acrylic","first floor, room A150",,"missing",,,,,FALSE,TRUE
,"Untitled","watercolor","first floor, near room 119",,"missing",,,,,FALSE,TRUE
,"Untitled","watercolor","third floor, room 321C",,"missing",,,,,FALSE,TRUE
83,"The Flock","mixed media on aluminum","fourth floor, middle of floor, near reception desk and in open study area near window that faces Kidder",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
89,"Symbiosis 1 & 2","mixed media on aluminum","fourth floor, by east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
73,"Stake","steel & wood","fourth floor, by west staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Untitled","mural","In all computer labs in the building",,"Public",,,,,FALSE,FALSE
,"Untitled set of 3 watercolors","watercolor","first floor, room 119C (wood science)","From plaque that accompanies the piece: ""This gift from Boise Cascade Corporate depicts the landscapes associated with company-owned woodlands in three regions of the United States -- the Northwest, the Northeast, and the Southeast. The three watercolors were donated in 199 in honor of the opening of Richardson Hall.""","Public",1986,,,,FALSE,FALSE
,"Solar Tsunami","glass sculpture/mural","window facing 26th Street",,,,,,,TRUE,FALSE
,"The Quadropeds of North America","watercolored print","first floor, library in Giustina Lounge","From plaque that accompanies the piece: ""An original John James Audubon lithograph hand watercolored print, ""American Beaver,"" taken from Octavo 1856 edition, ""The Quadropeds of North America."" Contributed by Lynn and Wayne Hamersly.""","Public",,,,,FALSE,FALSE
,"Six Zebras Courant","aquatint","MU Pangea",,"Public",1957,,,,FALSE,FALSE
,"Beaver Creek","statue","first floor, main entrance","From plaque that accompanies the piece: ""Class of '56 Golden Jubilee Reunion Gift. Presented on June 10, 2006.""","Public",,,,,FALSE,FALSE
,"OSU Presidential Portraits (18)","oil paint on sepia print (light oil)","second floor, upper concourse",,"Public",1970,,,,FALSE,FALSE
,"Nickwich Grizzly","pastel and graphite on paper","second floor","From plaque that accompanies the piece: ""The fraility of life on this planet and the need to recognize the interconnectedness of all species are common threads of Bartow's work.""","Public",1990,,,,TRUE,FALSE
,"4 Sunday","pastel and graphite on paper","second floor","From plaque that accompanies the piece: ""Once the symbol of rebirth and the spirit of all life, crow is a ghost-like figure in this monotype who knows 'he' is no longer central to our lives.""","Public",1990,,,,TRUE,FALSE
,"Mortal Crow","painting","first floor, main lobby","From plaque that accompanies the piece: ""Rick Bartow is an Oregon artist of Wiyot and Yurok heritage. His drawings, pole sculptures, and paintings are often inspired by personal experiences, cultural engagement and global myths, especially Native American transformation stories. Animals and self-portraits are often found in Newport, Oregon native's iconography.""","Public",2006,,,,TRUE,FALSE
,"Hawk Prayer","painting","first floor, main lobby","From plaque that accompanies the piece: ""Rick Bartow is an Oregon artist of Wiyot and Yurok heritage. His drawings, pole sculptures, and paintings are often inspired by personal experiences, cultural engagement and global myths, especially Native American transformation stories. Animals and self-portraits are often found in Newport, Oregon native's iconography.""","Public",1987,,,,TRUE,FALSE
26,"Ship of Fools","pastel on paper","second floor, east side, near Autzen Classroom",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Release","mixed media","sixth floor, west side",,"Please contact Kelly Anderton (Kelly.Anderton@oregonstate.edu or 541-737-2111) to make an appointment to view this piece.",1994,,"Provost's Purchase Award",,FALSE,FALSE
,"Dean Peavy","oil","***Forestry Club",,"missing",,,,,FALSE,TRUE
,"Salmon River Estuary","oil on canvas","second floor",,"Public",2007,,,,FALSE,FALSE
,"Cannon Rock","lithograph","second floor, room 256 (communications)",,"missing",,,,,FALSE,TRUE
,"Newport Bridge","lithograph","second floor, room 256 (communications)",,"missing",,,,,FALSE,TRUE
,"Live Bait","lithograph","first floor, room A150",,"missing",,,,,FALSE,TRUE
120,"Wind Catcher","bronze","sixth floor, by east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection","“In doing work such as Wind Catcher,” Blix has said, “it is my intent to create a piece that possesses an inner life and power that makes it a part of the natural order of things. It is my hope that this piece engenders a sense of mystery and vitality in the viewer - a sense of work done with integrity possessing a content that functions on more than a surface level.”",TRUE,FALSE
,"Cone Orchard",,"third floor, room 319 (locked conference room)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Horse Logging",,"third floor, room 319 (locked conference room)",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) or Sandie Arbogast (sandra.arbogast@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Shifting Ground","oil on canvas","first floor",,"Public",2009,,,,FALSE,FALSE
108,"Bronze Crow #5","bronze sculpture","fifth floor, in Special Collections and Archives Research, along window looking towards Kidder",,"Public",,,"part of The Valley Library's Northwest Art Collection","Boyden's bronze crow pieces in the Valley Library were initially inspired by drawings he did and photographs he took of crows while feeding some outside a grocery store. He has said he was “fascinated with the incredible complexity of their abilities to move and the exaggerated contortions of their bodies as they interacted.” The sketches became a series of nine drypoints, then they became clay sculptures, which allowed him to mimic the plasticity of their movements, he said. From his many clay sculptures, he then cast nine in bronze. ",TRUE,FALSE
109,"Bronze Crow #4","bronze sculpture","fifth floor, in Special Collections and Archives Research, along window looking towards Kidder",,"Public",,,"part of The Valley Library's Northwest Art Collection","Boyden's bronze crow pieces in the Valley Library were initially inspired by drawings he did and photographs he took of crows while feeding some outside a grocery store. He has said he was “fascinated with the incredible complexity of their abilities to move and the exaggerated contortions of their bodies as they interacted.” The sketches became a series of nine drypoints, then they became clay sculptures, which allowed him to mimic the plasticity of their movements, he said. From his many clay sculptures, he then cast nine in bronze. ",TRUE,FALSE
110,"Bronze Crow #2","bronze sculpture","fifth floor, in Special Collections and Archives Research, along window looking towards Kidder",,"Public",,,"part of The Valley Library's Northwest Art Collection","Boyden's bronze crow pieces in the Valley Library were initially inspired by drawings he did and photographs he took of crows while feeding some outside a grocery store. He has said he was “fascinated with the incredible complexity of their abilities to move and the exaggerated contortions of their bodies as they interacted.” The sketches became a series of nine drypoints, then they became clay sculptures, which allowed him to mimic the plasticity of their movements, he said. From his many clay sculptures, he then cast nine in bronze. ",TRUE,FALSE
,"8 Tree Species","scratchboard","Entryway into Richardson Hall from Peavy Hall",,"Public",,,,,FALSE,FALSE
,"Leaves","photograph","second floor, next to bathrooms (room 260)",,"Public",,,,,FALSE,FALSE
,"Vine Maple","photograph","second floor, next to bathrooms (room 260)",,"Public",,,,,FALSE,FALSE
,"Wood","photograph","second floor, next to bathrooms (room 260)",,"Public",,,,,FALSE,FALSE
,"Portrait of George Peavy","oil","first floor, Dean's hallway",,"Please contact Roger Admiral (roger.admiral@oregonstate.edu) to view this piece.",,,,,FALSE,FALSE
,"Cold Deck","oil","second floor, room 204 (forest engineering)",,"missing",,,,,FALSE,TRUE
,"Loading Logs Near Butte Falls","print","second floor, room A215 (forestry club)",,"missing",,,,,FALSE,TRUE
,"Bull of the Woods","print","second floor, room A215 (forestry club)",,"missing",,,,,FALSE,TRUE
,"Trail Tracks","print","second floor, room A215 (forestry club)",,"missing",,,,,FALSE,TRUE
,"Fall Turns to Winter","oil","second floor, room A204",,"missing",,,,,FALSE,TRUE
,"McCloud River Railroad No. 8",,"second floor, room A204",,"missing",,,,,FALSE,TRUE
,"Day's End","print","second floor, room A204",,"missing",,,,,FALSE,TRUE
,"Spruce Division, US Army",,"second floor, room A204",,"missing",,,,,FALSE,TRUE
,"Moving a Willamette",,"second floor, room A204",,"missing",,,,,FALSE,TRUE
,"Sluice Box","oil","first floor, Weyerhauser Gallery","From plaque that accompanies the piece: ""Oregonian Ken Brauner has an extensive and diverse background in forestry. This experience serves him well when creating the forest-related art for which he is known throughout North America. The paintings displayed here illustrate the College of Forestry's mission at Oregon State University. 'Eagle Cap' depicts recreation in a forest setting. 'Wheel Mounted Sawmill' reflects on useful products made from forest resources, and 'Increment Borer' highlights forest management and science. We carry out teaching, research, and outreach in all these areas. 'Sluice Box' is included to show other uses of florest resources, in this case gold mining. The College is grateful for Ken Brauner's gift of these paintings and deeply appreciative of the role Ken has played in showing the beauty and utility of our natural forest resources.""","Public",,,,,FALSE,FALSE
,"Wheel Mounted Sawmill","oil","first floor, Weyerhauser Gallery","From plaque that accompanies the piece: ""Oregonian Ken Brauner has an extensive and diverse background in forestry. This experience serves him well when creating the forest-related art for which he is known throughout North America. The paintings displayed here illustrate the College of Forestry's mission at Oregon State University. 'Eagle Cap' depicts recreation in a forest setting. 'Wheel Mounted Sawmill' reflects on useful products made from forest resources, and 'Increment Borer' highlights forest management and science. We carry out teaching, research, and outreach in all these areas. 'Sluice Box' is included to show other uses of forest resources, in this case gold mining. The College is grateful for Ken Brauner's gift of these paintings and deeply appreciative of the role Ken has played in showing the beauty and utility of our natural forest resources.""","Public",,,,,FALSE,FALSE
,"Eagle Cap","oil","first floor, Weyerhauser Gallery","From plaque that accompanies the piece: ""Oregonian Ken Brauner has an extensive and diverse background in forestry. This experience serves him well when creating the forest-related art for which he is known throughout North America. The paintings displayed here illustrate the College of Forestry's mission at Oregon State University. 'Eagle Cap' depicts recreation in a forest setting. 'Wheel Mounted Sawmill' reflects on useful products made from forest resources, and 'Increment Borer' highlights forest management and science. We carry out teaching, research, and outreach in all these areas. 'Sluice Box' is included to show other uses of forest resources, in this case gold mining. The College is grateful for Ken Brauner's gift of these paintings and deeply appreciative of the role Ken has played in showing the beauty and utility of our natural forest resources.""","Public",,,,,FALSE,FALSE
,"The Increment Borer","oil","first floor, Weyerhauser Gallery","From plaque that accompanies the piece: ""Oregonian Ken Brauner has an extensive and diverse background in forestry. This experience serves him well when creating the forest-related art for which he is known throughout North America. The paintings displayed here illustrate the College of Forestry's mission at Oregon State University. 'Eagle Cap' depicts recreation in a forest setting. 'Wheel Mounted Sawmill' reflects on useful products made from forest resources, and 'Increment Borer' highlights forest management and science. We carry out teaching, research, and outreach in all these areas. 'Sluice Box' is included to show other uses of forest resources, in this case gold mining. The College is grateful for Ken Brauner's gift of these paintings and deeply appreciative of the role Ken has played in showing the beauty and utility of our natural forest resources.""","Public",,,,,FALSE,FALSE
,"""Oregon State University 100 Years of Forestry""","oil","first floor, Weyerhauser Gallery","From plaque that accompanies the piece: ""'One Hundred Years of Forestry' by Ken Brauner was commissioned by Dean Hal Salwasser to commemorate the College of Forestry's Centennial. The painting depicts continually improving forest practices learned over the past 100 years. It includes riparian habitat, newly planted trees, a young stand, second growth and old growth, plus wildlife habitat. A reduced-impact logging operation is in the background. In the foreground are three generations of Oregon State University foresters viewing the changes on the landscape during 100 years of forestry in Oregon. Ken intended this painting to also serve as a teaching tool by including several species of trees and animals. Can you find the Douglas-fir, western yew, hemlock, and western red cedar; how about the bald eagles, red-headed woodpecker, grey squirrel, salmon, spotted owl, owl swooping on a mouse, and a water ousel?""","Public",,,,,FALSE,FALSE
,"Untitled","oil","first floor, Weyerhauser Gallery",,"Public","Presented by 1990 Oregon Logging Conference",,,,FALSE,FALSE
119,"A Western Oregon Forest","oil on canvas","sixth floor, east side, in reading room",,"Public",,,"part of The Valley Library's Northwest Art Collection","On A Western Oregon Forest, Brauner has said, “This oil painting depicts an Oregon rain forest, which is largely coniferous, showing Douglas Fir, Western Red Cedar, West Coast Hemlock and Western Yew. In this painting you will find Vine Maple, Rhododendron, Sword Fern, Lupine, Fairy Slippers (also called Lady Slippers) and Beargrass; Beargrass usually grows in open forests and clearings. Its leaves are 1' to 2-1/2' long and very narrow...This scene also shows loggers of the early 1900s walking out of the woods on an old skidrow. These roads were built in the days of horse and oxen logging, constructed of small logs to ease the drag of the logs being pulled by the animals and to keep the logs from miring down in the mud.”",TRUE,FALSE
43,"Sweet Medicine","silver print","second floor, east side, before entering rotunda on left side",,"Public",,,"part of The Valley Library's Northwest Art Collection","This piece, taken at the Nez Perce Surrender Site in Montana, is from Sweet Medicine: Sites of Indian Massacres, Battlefields and Treaties, a book of photographs published by Brooks with University of New Mexico Press in 1995.",TRUE,FALSE
88,"Fire","oil on canvas","fourth floor, near east staircase",,"Public",,,"part of The Valley Library's Northwest Art Collection",,TRUE,FALSE
,"Peloton","recycled bicycle parts","first floor, above entrance","From plaque that accompanies the piece: ""Just as bicycle and rider change angle and position in relationship to each other and the course during a race, so do the bicycles in the artwork.""","Public",2013,,,,TRUE,FALSE
,"Working Out","acrylic paint, charcoal, and color conte; mixed media","second floor","From plaque that accompanies the piece: ""Eleven-panel wall mural created to express the movement and energy of physical exercise and to inspire and energize those who see it""","Public",2004,,,,TRUE,FALSE
,"Right Side / Left Side Series 1-4 (orange and red piece)","mixed media","third floor, near room 344",,"Public",,,"Right Side / Left Side Series",,TRUE,FALSE
,"Right Side / Left Side Series 1-4 (brown and blue piece)","mixed media","third floor, near room 346",,"Public",,,"Right Side / Left Side Series",,TRUE,FALSE
,"Right Side / Left Side Series 1-4 (orange and pink piece)","mixed media","did not find",,"missing",,,"Right Side / Left Side Series",,TRUE,TRUE
