name,birthdate,deathdate,website,bio,faculty,student
"Abrahamson, Mark",1944,,"http://www.markabrahamson.com/index/html","Born in 1944 in Seattle, Washington, Mark Abrahamson has an educational background in science, with a B.A. in chemistry from Whitman College and a doctrate in dental surgery from University of Washington. His interest in aerial photography is rooted in environmental concerns of climate change and water. He also worked for a decade on land use, watershed restoration, and water quality in local politics. Abrahamson now works exclusively as a photographer and lecturer on the effects of climate change. He has taken arial photographs of watersheds across the country, including include rural watersheds in Washington, urban watersheds in Chicago and New York, and the Lowcountry of Savannah, Georgia. ",,
"Ace, Katherine",1953,,"http://www.katherineace.com","Katherine Ace is a self-taught artist and works with alkyd/oil on canvas. She was born in Chicago in 1953, and prior to moving to Oregon and establishing a studio in 1990, she spent about 15 years moving from state to state. On her style, she has said, “The dynamics inherent in contradiction and ambiguity fascinates me... I enjoy bringing together loose flowing passages with points of intense detailed focus and bringing abstract thinking together with realistic technique. I am interested in the role of dark feelings, thoughts and states of mind in the process of transformation. I am drawn to fire beneath reserve...I find that the content of a picture is actual, literal depth and dimension in art. It includes not only the pointing finger but where the finger points.” ",,
"Adams, Jim",1951,,"http://www.jimadamsart.com","Jim Adams was born in 1951 in Santa Monica, California and grew up east of Los Angeles. After traveling some, he finished his undergraduate education at Humboldt State University in Arcata, California. In 1979, he and his wife moved to Corvallis, where he has lived, drawn, and taught art at Linn-Benton Community College and Oregon State University. “My artwork is a kind of spontaneous expression of some sort of inner tale that wants to be told,” he has said, adding that his pieces tend to express a state of mind instead of a specific story. The titles of his pieces are integral to his work, he has said, and generally arise “once the direction the imagery seems to be taking becomes apparent.” ",TRUE,
"Adams, T.",,,,,FALSE,FALSE
"Aleey, Steve",,,,,,
"Allen, Tom",,,,"Though he worked mainly in the botany and plant pathology department at Oregon State University, Thomas Allen's artistic work left a lasting legacy for the school. In 1986, he was named OSU's first artist-in-residence, and in 1983, he implemented the first Art About Agriculture exhibit.",TRUE,
"Anderson, Thomas",1951,,"http://www.thomasandersonart.com","Born in 1951 in Salt Lake City, Thomas Anderson moved around often with his family as a child, and by the age of four, he had lived in 39 states. After graduating from Evergreen State College in Olympia, Washington in 1973, he co-founded Mansion Glass Studios. He attended the Pilchuck Glass Studio for numerous years in the late 1980s, most often as a teaching assistant. In 1990, he established his own studio in Olympia. ",,
"Andolina, Gary",,,,"Holding an M.F.A. from the University of Washington, Gary Andolina considers his work to be within Minimalism, though to him, “Minimalism stressed the machined precision. I feel the hand of the artist should not be hidden and craftsmanship is very important to me.” Viewers’ personal reflections on his pieces are also very important to him: “Many of my pieces show a dichotomy of materials such as: strength and fragility, or natural and man-made materials. The combination of opposing materials such as steel and glass or wood and steel allow me a vocabulary of opposites that meld together in interesting combinations. I feel the mixing of materials allows the viewer to identify with the works and have a closer relationship with the pieces. The viewer is important and is considered in the scale of my work, many of which are sized to the human body.” ",,
"Arbogast, Sandra",,,,,FALSE,FALSE
"Archibald, Jack",,,"http://archibaldglass.com/","Jack Archibald is a sculptor from Washington who works primarily with glass. He has work hanging in schools, libraries, and other public buildings across the state of Washington.",FALSE,FALSE
"Audubon, John James",1785,1851,"http://www.audubon.org/john-james-audubon","Born in 1785 in what would become Haiti, John James Audubon was a famous American ornithologist, naturalist, and painter. He was known for creating detailed watercolors of American birds. He emigrated to the United States in 1803 to avoid being conscripted, and he started documenting birds when he moved to a large homestead in Pennsylvania near Valley Forge. He compiled his paintings together into a book called ""The Birds of America,"" a commercial and artistic success. He was known for painting birds in lifelike poses in their natural habitat. He would trap the birds and then prop them up naturally with wires so that they appeared natural, often as if caught in motion. His birds are painted life-size, accounting for the somewhat unusual position of some of the larger birds. Audubon died in New York in 1851.",,
"Austan, Clark",,,,,,
"Avati, Mario",1921,2009,"http://rogallery.com/avati_mario/avati-biography.html","Born in Monaco in 1921, Mario Avati was a French painter and engraver known for his mezzotint prints. He studied at the National School of Decorative Arts in Nice and the National School of Fine Arts in Paris and became known for his revival of the arduous mezzotint process, which allows multiple shades of the same color as a drypoint process. Most of his art was still lifes or was focused on animal subjects. Avati died in 2009.",,
"Balciar, Gerald",1942,,"http://www.bighorngalleries.com/balciar.htm","Born in 1942 in Wisconsin, Gerald Balciar showed a fascination for art early in life. His sculpture demonstrates his careful understanding of animals, and he works from photographs, casts, measurements, and live models. He is a member of the National Sculpture Society, Society of Animal Artists, Allied Artists of America, and Northwest Rendevouz Group. He has also won multiple awards from the National Sculpture Society and the Prix de West from the National Academy of Western Art.",,
"Ball Studios of Corvallis",,,"http://theballstudio.com","In 1912, William Maurice Ball opened a photography studio in Corvallis. He worked there until 1939 when his son took over. The studio remains open.",,
"Ball, William Maurice",,,"http://theballstudio.com","In 1912, William Maurice Ball opened a photography studio in Corvallis. He worked there until 1939 when his son took over. The studio remains open.",,
"Bartow, Rick",,,"http://www.froelickgallery.com/Artist-Detail.cfm?ArtistsID=227","Born and raised on the Oregon coast, Rick Bartow’s art is largely influenced by his personal experiences: serving in Vietnam, quitting alcohol, and hearing myths like Native American transformation stories. During the times of emotional turmoil in his life, he turned to drawing to “exorcise the demons that had made me strange to myself.” Bartow currently lives in Newport on land that belonged to his Yurok father. Among his installed pieces include ""We Were Always Here,"" two twenty-foot tall carved poles that stand outside the National Museum of the American Indian in Washington, D.C. “The frailty of life on this planet and the need to recognize the interconnectedness of all species are common threads of Bartow's work,"" reads the plaque next to the piece. ",,
"Beals, Joella",,,,,,TRUE
"Bell, Maurice",,,,,,
"Benson, Carol",,,,"Carol Benson is a Portland-based artist and arts educator. She received bachelor's degrees in painting and art history from the University of Washington before going on to earn her M.F.A. from the School of the Art Institute of Chicago. Her work is displayed at the Blackfish Gallery in Portland.",FALSE,FALSE
"Blix, Weltzin",,,,"Eugene resident Weltzin Blix began his career as a physicist, studying at Carroll College in Wisconsin and Northern Illinois University. He began a Ph.D. program at University of New Mexico and later left to accept a job at Los Alamos Scientific Laboratory. After leaving Los Alamos and briefly going to Michigan State to continue doctorate work, he decided to change careers; he then moved to Oregon to study architecture at University of Oregon, earning an M.F.A. in 1969. Blix taught sculpture, ceramics, and drawing at Lane Community College in Eugene for over 30 years before he retired in 2002. During his long career, he received numerous awards, including a Visual Arts Fellowship from the National Endowment of the Arts in 1984. His largest and most well-known piece is the Oregon Capitol Fountain in Salem. ",,
"Bomberger, Bruce",,,,,,
"Botero, Kirk",,,,"Kirk Botero is a Portland painter who is a member of the Blackfish Gallery. He received his B.S. in art at Utah State University and has had exhibitions across the Pacific Northwest in addition to a show at the 55 Mercer Gallery in New York.",FALSE,FALSE
